epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,184.489,1.20215,1.1163,1.33326,0.6617,0.66667,0.68324,0.37949,1.29599,1.24946,1.2625,0.0009076,0.0009076,0.0009076
30,190.712,1.13745,1.07366,1.28518,0.59569,0.62016,0.59353,0.29299,1.46651,1.23649,1.37971,0.0009043,0.0009043,0.0009043
31,196.89,1.1536,1.07639,1.28491,0.68151,0.66925,0.71013,0.41166,1.38175,1.27928,1.28642,0.000901,0.000901,0.000901
32,203.048,1.15848,1.08186,1.29082,0.74251,0.64599,0.70878,0.433,1.32398,1.15576,1.20869,0.0008977,0.0008977,0.0008977
33,209.413,1.1608,1.08323,1.30701,0.8099,0.64952,0.7564,0.45362,1.29256,1.00862,1.21324,0.0008944,0.0008944,0.0008944
34,215.772,1.10439,1.0316,1.2765,0.67123,0.68583,0.7026,0.40708,1.18085,1.18575,1.18982,0.0008911,0.0008911,0.0008911
35,221.885,1.11276,1.02839,1.26583,0.70588,0.70695,0.76105,0.45579,1.28976,1.04287,1.20469,0.0008878,0.0008878,0.0008878
36,228.215,1.13259,1.07523,1.29752,0.72427,0.69233,0.74904,0.4278,1.40494,1.02256,1.23341,0.0008845,0.0008845,0.0008845
37,234.399,1.12572,1.03489,1.27304,0.75191,0.71318,0.77136,0.46471,1.27939,0.96113,1.19892,0.0008812,0.0008812,0.0008812
38,240.763,1.11193,1.03999,1.27128,0.77978,0.65116,0.74841,0.46706,1.33979,0.97167,1.22756,0.0008779,0.0008779,0.0008779
39,247.17,1.1117,1.02203,1.27673,0.72391,0.7261,0.75771,0.44389,1.35647,1.06204,1.25949,0.0008746,0.0008746,0.0008746
40,253.286,1.09966,1.00382,1.26648,0.75862,0.68475,0.74014,0.44796,1.45194,1.12404,1.27197,0.0008713,0.0008713,0.0008713
41,259.394,1.09749,0.98102,1.25927,0.73275,0.70026,0.76678,0.45988,1.32351,1.02946,1.26607,0.000868,0.000868,0.000868
42,265.526,1.07488,0.97427,1.25306,0.75562,0.66315,0.72168,0.38659,1.41357,1.08125,1.27881,0.0008647,0.0008647,0.0008647
43,271.648,1.06647,0.96394,1.2321,0.75412,0.68157,0.76542,0.45878,1.34734,1.02942,1.21167,0.0008614,0.0008614,0.0008614
44,277.853,1.08873,0.98628,1.23922,0.74733,0.677,0.72943,0.46274,1.43251,1.12539,1.20492,0.0008581,0.0008581,0.0008581
45,284.012,1.06976,0.99238,1.24861,0.80455,0.70801,0.79481,0.48459,1.27241,0.88201,1.17158,0.0008548,0.0008548,0.0008548
46,290.4,1.0579,0.94173,1.23902,0.80157,0.70026,0.79022,0.48004,1.23076,0.90488,1.21752,0.0008515,0.0008515,0.0008515
47,296.578,1.07174,0.95901,1.24073,0.7906,0.66339,0.77093,0.47712,1.29454,1.01786,1.23037,0.0008482,0.0008482,0.0008482
48,302.759,1.11192,0.99162,1.25845,0.74775,0.64599,0.71885,0.462,1.07762,1.0132,1.16978,0.0008449,0.0008449,0.0008449
49,308.967,1.06631,0.97933,1.24627,0.71195,0.71318,0.7541,0.48266,1.07099,0.95055,1.15115,0.0008416,0.0008416,0.0008416
50,315.178,1.08331,0.98108,1.25866,0.76733,0.65116,0.74055,0.45808,1.26651,1.04224,1.19978,0.0008383,0.0008383,0.0008383
51,321.386,1.03506,0.95057,1.21241,0.79042,0.70166,0.78626,0.4912,1.09483,0.98576,1.17598,0.000835,0.000835,0.000835
52,327.693,1.04531,0.96755,1.24271,0.78326,0.72351,0.78784,0.46065,1.3975,0.99572,1.24635,0.0008317,0.0008317,0.0008317
53,333.855,1.04633,0.94552,1.23929,0.77337,0.73127,0.77228,0.48749,1.25395,1.06564,1.20335,0.0008284,0.0008284,0.0008284
54,340.036,1.04485,0.93545,1.22237,0.78797,0.64858,0.73798,0.43735,1.24817,0.95578,1.21517,0.0008251,0.0008251,0.0008251
55,346.183,1.04423,0.94315,1.22735,0.75203,0.67442,0.74849,0.45863,1.17641,0.92297,1.19565,0.0008218,0.0008218,0.0008218
56,352.371,1.05275,0.92202,1.22185,0.78543,0.6615,0.76429,0.48196,1.16699,0.93772,1.16933,0.0008185,0.0008185,0.0008185
57,358.486,1.0341,0.93319,1.2213,0.70427,0.73127,0.76076,0.45638,1.28664,1.0506,1.20571,0.0008152,0.0008152,0.0008152
58,365.396,1.06336,0.914,1.23786,0.80105,0.65547,0.76576,0.49361,1.17166,0.9505,1.15734,0.0008119,0.0008119,0.0008119
59,371.667,1.01264,0.90217,1.21937,0.81335,0.66436,0.7742,0.49917,1.21066,1.04395,1.18214,0.0008086,0.0008086,0.0008086
60,377.905,1.02214,0.91999,1.2196,0.74866,0.73643,0.78217,0.514,1.02861,0.92114,1.1438,0.0008053,0.0008053,0.0008053
61,384.076,1.02446,0.90081,1.19851,0.80431,0.69251,0.78732,0.50769,1.21097,0.85441,1.25049,0.000802,0.000802,0.000802
62,390.289,0.99436,0.87737,1.19537,0.77975,0.74098,0.79461,0.48102,1.19849,0.94245,1.20306,0.0007987,0.0007987,0.0007987
63,396.465,1.01995,0.87079,1.21741,0.7208,0.69251,0.74193,0.45919,1.27645,1.00732,1.25574,0.0007954,0.0007954,0.0007954
64,402.618,1.00341,0.86618,1.19443,0.74416,0.71059,0.76378,0.48371,1.31005,0.97937,1.26255,0.0007921,0.0007921,0.0007921
65,408.739,0.99707,0.8891,1.19777,0.79601,0.73609,0.80839,0.53431,1.20821,0.90276,1.1972,0.0007888,0.0007888,0.0007888
66,415.047,1.01912,0.88863,1.21151,0.763,0.69251,0.75507,0.4823,1.11748,0.92547,1.23509,0.0007855,0.0007855,0.0007855
67,421.23,0.99659,0.87712,1.19843,0.76564,0.63311,0.70896,0.44106,1.10239,1.03059,1.19184,0.0007822,0.0007822,0.0007822
68,427.381,1.01112,0.84166,1.20045,0.74369,0.72724,0.76214,0.48182,1.13943,0.86703,1.15849,0.0007789,0.0007789,0.0007789
69,433.665,0.99031,0.8773,1.18899,0.75794,0.73902,0.7938,0.50293,1.10245,0.91386,1.15202,0.0007756,0.0007756,0.0007756
70,439.83,0.98435,0.85943,1.19232,0.72358,0.72868,0.75274,0.4447,1.35766,0.98855,1.22969,0.0007723,0.0007723,0.0007723
71,445.976,0.97821,0.83059,1.18254,0.75878,0.73127,0.77073,0.4911,1.18065,0.85402,1.16628,0.000769,0.000769,0.000769
72,452.164,0.96178,0.84386,1.17531,0.80623,0.69251,0.77646,0.5009,1.277,0.86098,1.18288,0.0007657,0.0007657,0.0007657
73,458.341,0.98853,0.87181,1.1989,0.82442,0.73385,0.82253,0.52674,1.12554,0.8407,1.1374,0.0007624,0.0007624,0.0007624
74,464.534,0.9949,0.85993,1.19712,0.78609,0.70801,0.78039,0.50475,1.37651,0.93939,1.25433,0.0007591,0.0007591,0.0007591
75,470.691,0.99517,0.84657,1.19027,0.76114,0.74931,0.78103,0.50483,1.05084,0.87468,1.1773,0.0007558,0.0007558,0.0007558
76,476.93,0.94573,0.82335,1.15913,0.76292,0.74836,0.77935,0.50637,1.02134,0.82879,1.11652,0.0007525,0.0007525,0.0007525
77,483.192,0.97544,0.833,1.17973,0.76827,0.75387,0.78552,0.50521,0.96762,0.92623,1.13636,0.0007492,0.0007492,0.0007492
78,489.382,0.99903,0.8798,1.1983,0.81856,0.71112,0.79937,0.54362,0.98906,0.86023,1.10776,0.0007459,0.0007459,0.0007459
79,495.741,0.96735,0.82752,1.16313,0.77408,0.72601,0.79586,0.51998,1.07188,0.81641,1.13312,0.0007426,0.0007426,0.0007426
80,501.936,0.93614,0.80543,1.16436,0.81737,0.69251,0.79809,0.51779,1.14617,0.96648,1.15236,0.0007393,0.0007393,0.0007393
81,508.057,0.99257,0.82099,1.18601,0.82766,0.72093,0.80368,0.53106,1.00766,0.76695,1.15409,0.000736,0.000736,0.000736
82,514.217,0.97254,0.83977,1.18614,0.77513,0.74935,0.79958,0.51204,1.06103,0.88725,1.14703,0.0007327,0.0007327,0.0007327
83,520.333,0.95028,0.81637,1.14495,0.77564,0.77717,0.77823,0.49106,1.05989,0.79202,1.16635,0.0007294,0.0007294,0.0007294
84,526.485,0.95251,0.80739,1.1644,0.74473,0.75194,0.7849,0.49501,1.02717,0.86582,1.15439,0.0007261,0.0007261,0.0007261
85,532.592,0.95446,0.81254,1.17898,0.79879,0.71809,0.77076,0.49565,1.20561,0.78206,1.2114,0.0007228,0.0007228,0.0007228
86,538.774,0.95819,0.81346,1.15895,0.82188,0.71536,0.79734,0.51656,1.02699,0.78428,1.15089,0.0007195,0.0007195,0.0007195
87,544.845,0.94747,0.78618,1.15455,0.82577,0.71034,0.78101,0.50661,1.042,0.79485,1.16626,0.0007162,0.0007162,0.0007162
88,551.032,0.9614,0.80673,1.17477,0.81853,0.73429,0.80971,0.51484,1.18331,0.8075,1.16678,0.0007129,0.0007129,0.0007129
89,557.152,0.96422,0.82193,1.16109,0.82432,0.71533,0.79336,0.52098,1.16885,0.83813,1.15097,0.0007096,0.0007096,0.0007096
90,563.309,0.92925,0.80235,1.15432,0.79659,0.70837,0.77703,0.52211,0.9916,0.75854,1.14281,0.0007063,0.0007063,0.0007063
91,569.374,0.94153,0.78754,1.15104,0.807,0.73385,0.76616,0.4918,1.0579,0.84296,1.14365,0.000703,0.000703,0.000703
92,575.616,0.9426,0.79248,1.14684,0.83863,0.70284,0.78881,0.52172,1.02486,0.83071,1.11719,0.0006997,0.0006997,0.0006997
93,581.696,0.94263,0.77933,1.15758,0.82395,0.72563,0.80386,0.54093,1.0031,0.79339,1.1182,0.0006964,0.0006964,0.0006964
94,587.922,0.93783,0.80762,1.17048,0.77615,0.72868,0.79358,0.51184,1.02651,0.74487,1.13132,0.0006931,0.0006931,0.0006931
95,594.024,0.95014,0.79332,1.16214,0.80123,0.67959,0.77366,0.50502,1.11317,0.83784,1.14229,0.0006898,0.0006898,0.0006898
96,600.211,0.93635,0.75334,1.16582,0.81365,0.71318,0.77773,0.51183,1.06803,0.81718,1.14851,0.0006865,0.0006865,0.0006865
97,606.328,0.92121,0.76751,1.1499,0.7962,0.70026,0.77485,0.50319,1.05273,0.85709,1.11751,0.0006832,0.0006832,0.0006832
98,612.516,0.93017,0.77014,1.15053,0.81694,0.70341,0.798,0.50565,1.1824,0.86907,1.19153,0.0006799,0.0006799,0.0006799
99,618.606,0.87461,0.70974,1.12198,0.73442,0.74315,0.75819,0.48633,1.37243,0.85724,1.23526,0.0006766,0.0006766,0.0006766
100,624.765,0.91291,0.74641,1.14448,0.80097,0.69509,0.75713,0.4922,1.22557,0.85833,1.19138,0.0006733,0.0006733,0.0006733
101,630.838,0.90902,0.75178,1.13786,0.76625,0.73695,0.77644,0.50671,1.15553,0.8294,1.13272,0.00067,0.00067,0.00067
102,637.043,0.96633,0.80083,1.1698,0.8019,0.71128,0.77062,0.52026,1.11066,0.82339,1.12413,0.0006667,0.0006667,0.0006667
103,643.128,0.89121,0.7445,1.13257,0.78567,0.76724,0.80014,0.53112,1.01051,0.77457,1.10658,0.0006634,0.0006634,0.0006634
104,649.405,0.94603,0.78205,1.1604,0.81164,0.72375,0.79235,0.52733,0.97626,0.82552,1.12306,0.0006601,0.0006601,0.0006601
105,655.577,0.90382,0.75339,1.12509,0.80691,0.75589,0.80795,0.52769,1.13032,0.82507,1.13151,0.0006568,0.0006568,0.0006568
106,661.736,0.95135,0.78829,1.14885,0.80981,0.70284,0.77402,0.48769,1.18674,0.79635,1.18344,0.0006535,0.0006535,0.0006535
107,667.875,0.9048,0.72949,1.12146,0.83104,0.74419,0.8021,0.5381,1.08586,0.7962,1.12384,0.0006502,0.0006502,0.0006502
108,674.068,0.90572,0.73188,1.13113,0.80724,0.73643,0.78,0.47618,1.2503,0.82279,1.1722,0.0006469,0.0006469,0.0006469
109,680.169,0.91484,0.7521,1.12855,0.8003,0.73524,0.79433,0.52665,1.10703,0.79672,1.1411,0.0006436,0.0006436,0.0006436
110,686.371,0.89419,0.73906,1.13243,0.86105,0.70543,0.82744,0.54149,1.05998,0.77221,1.11165,0.0006403,0.0006403,0.0006403
111,692.488,0.90259,0.74508,1.13221,0.83498,0.71576,0.79553,0.51602,0.95868,0.76759,1.12273,0.000637,0.000637,0.000637
112,698.704,0.91804,0.746,1.13544,0.80931,0.69767,0.79225,0.53886,1.12723,0.7815,1.12913,0.0006337,0.0006337,0.0006337
113,704.808,0.89899,0.75388,1.12948,0.79239,0.70543,0.76372,0.49742,1.14458,0.9029,1.15224,0.0006304,0.0006304,0.0006304
114,710.975,0.91279,0.75045,1.13827,0.78358,0.75194,0.78694,0.50976,1.13793,0.78256,1.13704,0.0006271,0.0006271,0.0006271
115,717.09,0.9029,0.76447,1.14164,0.83316,0.71835,0.79415,0.54778,1.03991,0.8015,1.11332,0.0006238,0.0006238,0.0006238
116,724.053,0.91324,0.72674,1.13999,0.80219,0.69251,0.78599,0.50037,1.05686,0.77094,1.13613,0.0006205,0.0006205,0.0006205
117,730.15,0.90624,0.73776,1.1279,0.77124,0.78811,0.81402,0.53764,0.95637,0.73619,1.10502,0.0006172,0.0006172,0.0006172
118,736.372,0.86434,0.69646,1.11154,0.83775,0.70711,0.79843,0.52022,1.09176,0.82658,1.15094,0.0006139,0.0006139,0.0006139
119,742.493,0.89892,0.70682,1.12217,0.78664,0.74312,0.796,0.54599,0.96275,0.76348,1.10555,0.0006106,0.0006106,0.0006106
120,748.648,0.90838,0.74074,1.1461,0.78501,0.73385,0.78606,0.52763,1.00456,0.74648,1.11266,0.0006073,0.0006073,0.0006073
121,754.74,0.87252,0.71363,1.12132,0.79724,0.71121,0.76149,0.49407,1.0958,0.84791,1.15334,0.000604,0.000604,0.000604
122,760.947,0.8786,0.71315,1.11775,0.75524,0.75452,0.77772,0.50571,1.02529,0.86974,1.14613,0.0006007,0.0006007,0.0006007
123,767.09,0.88431,0.72398,1.12451,0.79113,0.73902,0.79118,0.52705,1.05763,0.7666,1.11931,0.0005974,0.0005974,0.0005974
124,773.271,0.90464,0.70597,1.1104,0.74573,0.74266,0.77074,0.49236,1.21844,0.85703,1.1723,0.0005941,0.0005941,0.0005941
125,779.408,0.90725,0.73331,1.13631,0.80371,0.70887,0.76953,0.52491,1.01533,0.77613,1.12146,0.0005908,0.0005908,0.0005908
126,785.551,0.89545,0.71848,1.12575,0.82221,0.69509,0.80094,0.53815,1.02017,0.82233,1.11716,0.0005875,0.0005875,0.0005875
127,791.69,0.88839,0.73356,1.12728,0.85299,0.68734,0.80108,0.52644,1.07155,0.74778,1.18148,0.0005842,0.0005842,0.0005842
128,797.86,0.87906,0.71564,1.12396,0.85652,0.69251,0.79927,0.53321,0.93502,0.73093,1.13338,0.0005809,0.0005809,0.0005809
129,804.062,0.89179,0.71825,1.12613,0.79705,0.75452,0.8127,0.52713,1.44155,0.78157,1.22979,0.0005776,0.0005776,0.0005776
130,810.208,0.86403,0.69154,1.10363,0.76249,0.7134,0.77738,0.49817,1.18223,0.85451,1.16796,0.0005743,0.0005743,0.0005743
131,816.333,0.86633,0.71099,1.10676,0.77995,0.76018,0.80393,0.5444,1.12624,0.80741,1.13618,0.000571,0.000571,0.000571
132,822.504,0.85328,0.68974,1.10493,0.8157,0.75452,0.82326,0.53986,1.00999,0.77829,1.12555,0.0005677,0.0005677,0.0005677
133,828.63,0.8722,0.69292,1.11947,0.79724,0.75183,0.8055,0.53376,1.09372,0.81174,1.14608,0.0005644,0.0005644,0.0005644
134,834.793,0.85335,0.68247,1.1128,0.8382,0.67183,0.79337,0.52447,1.30735,0.81381,1.19274,0.0005611,0.0005611,0.0005611
135,840.908,0.84904,0.71175,1.11323,0.78973,0.75697,0.80139,0.54578,1.15942,0.8303,1.12917,0.0005578,0.0005578,0.0005578
136,847.031,0.83954,0.67994,1.09264,0.85716,0.72868,0.81788,0.55199,1.28841,0.78092,1.16314,0.0005545,0.0005545,0.0005545
137,853.35,0.85197,0.67315,1.09828,0.8381,0.73127,0.81148,0.54122,1.14082,0.72721,1.13053,0.0005512,0.0005512,0.0005512
138,859.464,0.85236,0.67247,1.09873,0.81732,0.73988,0.80883,0.54302,0.98617,0.76701,1.11326,0.0005479,0.0005479,0.0005479
139,865.606,0.863,0.65972,1.08856,0.81191,0.78295,0.83107,0.53428,1.14121,0.7791,1.12599,0.0005446,0.0005446,0.0005446
140,871.712,0.84121,0.66679,1.10245,0.81779,0.77704,0.83129,0.57459,0.99576,0.7339,1.1199,0.0005413,0.0005413,0.0005413
141,878.009,0.8928,0.68786,1.11654,0.80161,0.73087,0.79691,0.54145,1.04044,0.80457,1.14299,0.000538,0.000538,0.000538
142,884.122,0.85707,0.69129,1.10652,0.76723,0.75711,0.7879,0.52032,1.23007,0.76628,1.16238,0.0005347,0.0005347,0.0005347
143,890.284,0.86083,0.68212,1.10836,0.80776,0.7383,0.79407,0.54721,1.18225,0.75507,1.15546,0.0005314,0.0005314,0.0005314
144,896.393,0.85269,0.6699,1.09968,0.81456,0.7416,0.79533,0.56069,1.04729,0.77451,1.10395,0.0005281,0.0005281,0.0005281
145,902.613,0.88625,0.70073,1.12789,0.8368,0.71318,0.79723,0.5452,0.96467,0.79851,1.11152,0.0005248,0.0005248,0.0005248
146,908.762,0.83528,0.67599,1.09446,0.80764,0.70801,0.79524,0.52137,1.03545,0.7929,1.14106,0.0005215,0.0005215,0.0005215
147,914.905,0.84754,0.67983,1.09772,0.80321,0.76486,0.79828,0.51153,1.37655,0.80608,1.22435,0.0005182,0.0005182,0.0005182
148,921.055,0.86116,0.69698,1.10482,0.75988,0.76866,0.80554,0.53296,1.23231,0.8165,1.16989,0.0005149,0.0005149,0.0005149
149,927.197,0.83947,0.6473,1.08494,0.78517,0.75194,0.80802,0.5444,1.22229,0.76638,1.18508,0.0005116,0.0005116,0.0005116
150,933.344,0.82676,0.67415,1.08737,0.81609,0.76227,0.82922,0.54228,1.20586,0.86512,1.16216,0.0005083,0.0005083,0.0005083
151,939.512,0.85647,0.67703,1.10837,0.78792,0.76744,0.82362,0.56699,1.09848,0.82874,1.13433,0.000505,0.000505,0.000505
152,945.688,0.83829,0.66874,1.10057,0.78704,0.73902,0.81137,0.55044,1.10162,0.87511,1.1395,0.0005017,0.0005017,0.0005017
153,951.875,0.83073,0.65962,1.08727,0.81087,0.7261,0.80093,0.54169,1.18404,0.83548,1.14372,0.0004984,0.0004984,0.0004984
154,958.072,0.8248,0.65812,1.09005,0.84686,0.71446,0.80882,0.5475,0.98596,0.84153,1.12831,0.0004951,0.0004951,0.0004951
155,964.232,0.83408,0.64971,1.08901,0.78423,0.73902,0.80533,0.53634,0.92976,0.8101,1.11678,0.0004918,0.0004918,0.0004918
156,970.352,0.83717,0.6625,1.09444,0.81965,0.78036,0.83567,0.56994,0.9465,0.73782,1.11028,0.0004885,0.0004885,0.0004885
157,976.488,0.83649,0.66245,1.08882,0.83069,0.72351,0.82797,0.54711,0.97559,0.69984,1.11126,0.0004852,0.0004852,0.0004852
158,982.608,0.8279,0.65197,1.09432,0.86489,0.68734,0.80908,0.53149,1.05842,0.82957,1.12687,0.0004819,0.0004819,0.0004819
159,988.741,0.8235,0.65106,1.08292,0.85286,0.74888,0.81879,0.55416,1.14724,0.76531,1.14299,0.0004786,0.0004786,0.0004786
160,994.857,0.82843,0.66295,1.09456,0.79553,0.77003,0.81292,0.54463,0.97659,0.70243,1.12961,0.0004753,0.0004753,0.0004753
161,1001.07,0.84057,0.67247,1.10909,0.81129,0.74428,0.80097,0.5451,1.0111,0.72115,1.11689,0.000472,0.000472,0.000472
162,1007.22,0.81621,0.62343,1.08332,0.81955,0.74677,0.82862,0.53909,1.30509,0.8039,1.15542,0.0004687,0.0004687,0.0004687
163,1013.39,0.81532,0.62799,1.08757,0.76909,0.78553,0.80305,0.53862,1.08223,0.794,1.11766,0.0004654,0.0004654,0.0004654
164,1019.55,0.82762,0.64682,1.09725,0.80524,0.79056,0.82576,0.56358,1.03184,0.78403,1.09997,0.0004621,0.0004621,0.0004621
165,1025.75,0.80688,0.65008,1.08482,0.80539,0.75194,0.81729,0.56106,1.11939,0.84881,1.15544,0.0004588,0.0004588,0.0004588
166,1031.87,0.84183,0.6454,1.07911,0.82759,0.73127,0.81015,0.55501,1.04093,0.78349,1.1245,0.0004555,0.0004555,0.0004555
167,1038.02,0.82116,0.64372,1.08414,0.82644,0.71835,0.80519,0.55292,1.00828,0.78582,1.11352,0.0004522,0.0004522,0.0004522
168,1044.18,0.82216,0.63417,1.08653,0.84196,0.73127,0.82444,0.55274,1.16298,0.8337,1.15204,0.0004489,0.0004489,0.0004489
169,1050.35,0.81269,0.62972,1.06946,0.8577,0.7261,0.8204,0.56766,1.08493,0.76519,1.12939,0.0004456,0.0004456,0.0004456
170,1056.44,0.78695,0.59536,1.06045,0.84152,0.72723,0.80987,0.55459,1.1379,0.75682,1.15698,0.0004423,0.0004423,0.0004423
171,1062.56,0.82237,0.62071,1.07881,0.81703,0.75452,0.80799,0.53929,1.25628,0.77626,1.16344,0.000439,0.000439,0.000439
172,1068.68,0.79463,0.6084,1.07292,0.8579,0.73318,0.82701,0.55274,1.04817,0.79186,1.12681,0.0004357,0.0004357,0.0004357
173,1074.84,0.82085,0.62463,1.0735,0.82364,0.74935,0.8033,0.53043,1.19302,0.80543,1.17986,0.0004324,0.0004324,0.0004324
174,1080.97,0.82153,0.61241,1.0847,0.83134,0.73902,0.81823,0.5533,1.22088,0.8073,1.16248,0.0004291,0.0004291,0.0004291
175,1087.65,0.79623,0.60624,1.05969,0.83571,0.77261,0.82617,0.55107,1.17907,0.74679,1.12666,0.0004258,0.0004258,0.0004258
176,1093.79,0.80696,0.63218,1.07413,0.78413,0.74677,0.79487,0.5172,1.13147,0.78015,1.13919,0.0004225,0.0004225,0.0004225
177,1099.9,0.79742,0.61456,1.07208,0.79284,0.74169,0.79111,0.53143,1.0265,0.80496,1.12281,0.0004192,0.0004192,0.0004192
178,1106.02,0.79007,0.60844,1.07179,0.80989,0.73385,0.79625,0.54066,0.96776,0.82064,1.12085,0.0004159,0.0004159,0.0004159
179,1112.14,0.79751,0.60809,1.06321,0.84996,0.7261,0.80826,0.55062,1.10317,0.81673,1.1163,0.0004126,0.0004126,0.0004126
180,1118.28,0.7922,0.59473,1.0682,0.81767,0.74677,0.80546,0.5429,1.14686,0.76081,1.15266,0.0004093,0.0004093,0.0004093
181,1124.39,0.76412,0.59548,1.06056,0.83592,0.75034,0.8212,0.56075,1.14931,0.71932,1.13531,0.000406,0.000406,0.000406
182,1130.55,0.79524,0.61953,1.07262,0.77733,0.75774,0.80766,0.54124,1.20662,0.73694,1.14548,0.0004027,0.0004027,0.0004027
183,1136.62,0.80908,0.63871,1.07475,0.838,0.72868,0.80052,0.54065,1.22163,0.81341,1.14605,0.0003994,0.0003994,0.0003994
184,1142.84,0.77898,0.60426,1.05437,0.81273,0.75134,0.79296,0.53468,1.01964,0.73094,1.14556,0.0003961,0.0003961,0.0003961
185,1148.88,0.76361,0.56329,1.04878,0.83227,0.78212,0.81421,0.54371,1.24205,0.78301,1.20805,0.0003928,0.0003928,0.0003928
186,1155,0.80632,0.60622,1.06342,0.83978,0.7261,0.81918,0.55918,1.11722,0.78309,1.16826,0.0003895,0.0003895,0.0003895
